код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2574403,10750.0,RUR,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Универсальная мобильная стойка для интерактивной доски UMS-1,"Универсальная мобильная стойка для интерактивной доски UMS-1 Мобильная стойка для интерактивных досок  60"" - 95""  толщиной не более 5 см! Без крепления для проектора.   Каучуковые колеса в комплекте . Цвет: графит . Упаковка: 2- места  Общий вес 40кг",*** /рез.:*,?
2574003,18200.0,RUR,Интерактивные доски,Аксессуары для интерактивных досок,Интерактивные доски Аксессуары для интерактивных досок Универсальная мобильная стойка для интерактивной доски UMS-2,"Универсальная мобильная стойка для интерактивной доски UMS-2 Мобильная стойка для интерактивных досок 60""-95"" толщиной не более 50 мм!С телескопическим креплением для проектора.Регулировка проекционного расстояния:900-1400 мм.Колеса в комплекте.Упаковка: 3- места,Общий вес 60 кг.",** /рез.:*,?
2578612,106062.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-AW2505 (УКФ),"Hitachi CP-AW2505 (УКФ) Ультракороткофокусный, LCD, WXGA, 1280x800, 2700 Lm, 10000:1, лампа 5000/8000/10000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 36/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",****,?
2578520,119196.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-AW3005 (УКФ),"Hitachi CP-AW3005 (УКФ) Ультракороткофокусный, LCD, WXGA, 1280x800, 3300 Lm, 10000:1, лампа 4000/5000/6000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 36/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",*** /рез.:****,?
2578521,152471.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-AW3506 (УКФ),"Hitachi CP-AW3506 (УКФ) Ультракороткофокусный, LCD, WXGA, 1280x800, 3700 Lm, 16000:1, лампа 4000/5000/6000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 37/32 дБ, 4.3 кг, 382x141x362 мм, Wi-fi (опция)",****,?
2578611,105468.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-AX2505 (УКФ),"Hitachi CP-AX2505 (УКФ) Ультракороткофокусный, LCD, XGA, 1024x768, 2700 Lm, 10000:1, лампа 5000/7000/10000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 36/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",* /рез.:*,?
2578815,127729.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-AX3505 (УКФ),"Hitachi CP-AX3505 (УКФ) Ультракороткофокусный, LCD, XGA, 1024x768, 3600 Lm, 10000:1, лампа 4000/5000/6000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 36/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",**** /рез.:*,?
2578614,69289.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-CW251WN (КФ),"Hitachi CP-CW251WN (КФ) Короткофокусный, LCD, WXGA, 1280x800, 2600 Lm, 10000:1, лампа 5000/8000/10000 часов, TR 0.6, VGA x2, HDMI x2, S-Video, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 37/33 дБ, 3.6 кг, 345x85x303 мм, Wi-fi (опция)",***,?
2578517,80718.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-CW301WN (КФ),"Hitachi CP-CW301WN (КФ) Короткофокусный, LCD, WXGA, 1280x800, 3100 Lm, 10000:1, лампа 5000/8000/10000 часов, TR 0.6, VGA x2, HDMI x2, S-Video, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 37/33 дБ, 3.6 кг, 345x85x303 мм, Wi-fi (опция)",**,?
2578613,59800.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-CX251N (КФ),"Hitachi CP-CX251N (КФ) Короткофокусный, LCD, XGA, 1024x768, 2500 Lm, 2000:1, лампа 5000/8000/10000 часов, TR 0.6, VGA x2, HDMI, S-Video, композитный, компонентный, аудио RCA, USB (B), RS232, RJ45, 36/32 дБ, 3.4 кг, 345x85x303 мм",,?
