код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2576101,0,USD,Акустические системы,CS,Акустические системы CS CS H-YB4,"CS H-YB4 Настенная акустическая система, пассивная, фазоинверторного типа для внутреннего и наружного использования. Диапазон частот 90-20000 Гц, мощность 30 Вт, импеданс 8 Ом, чувствительность 88 дБ. НЧ-динамик 103мм, ВЧ-динамик 30мм, 172x150x217 мм",**,?
2576635,0,USD,Акустические системы,CS,Акустические системы CS CS H-YB5,"CS H-YB5 Настенная акустическая система, пассивная, фазоинверторного типа для внутреннего и наружного использования. Диапазон частот 80-20000 Гц, мощность 40 Вт, импеданс 8 Ом, чувствительность 88 дБ. НЧ-динамик 133мм, ВЧ-динамик 30мм, 185x163x244 мм",**,?
2576636,0,USD,Акустические системы,CS,Акустические системы CS CS H-YB6,"CS H-YB6 Настенная акустическая система, пассивная, фазоинверторного типа для внутреннего и наружного использования. Диапазон частот 70-20000 Гц, мощность 60 Вт, импеданс 8 Ом, чувствительность 88 дБ. НЧ-динамик 165мм, ВЧ-динамик 36мм, 218x190x298 мм",**,?
2576168,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i 3D Pen, цвет голубой","Classic-i 3D Pen, цвет голубой 3D ручка предназначена создания объемных фигур и надписей методом плавления пластика. Просто в управлении, имеет стильный дизайн и компактные габариты.  Может стать отличным подарком и началом интересного, увлекательного хобби для взрослых и детей!",****,?
2576169,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i 3D Pen, цвет жёлтый","Classic-i 3D Pen, цвет жёлтый 3D ручка предназначена создания объемных фигур и надписей методом плавления пластика. Просто в управлении, имеет стильный дизайн и компактные габариты.  Может стать отличным подарком и началом интересного, увлекательного хобби для взрослых и детей!",**,?
2576170,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i 3D Pen, цвет оранжевый","Classic-i 3D Pen, цвет оранжевый 3D ручка предназначена создания объемных фигур и надписей методом плавления пластика. Просто в управлении, имеет стильный дизайн и компактные габариты.  Может стать отличным подарком и началом интересного, увлекательного хобби для взрослых и детей!",***,?
2576167,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i 3D Pen, цвет серый","Classic-i 3D Pen, цвет серый 3D ручка предназначена создания объемных фигур и надписей методом плавления пластика. Просто в управлении, имеет стильный дизайн и компактные габариты.  Может стать отличным подарком и началом интересного, увлекательного хобби для взрослых и детей!",****,?
2576172,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Bluetooth браслет, черно-белый","Classic-i Bluetooth браслет, черно-белый Classic-i Bluetooth браслет - это не только элегантные часы, но и телефонная гарнитура для громкой связи в автомобиле, при занятиях спортом или во время прогулки. С его помощью можно принимать/совершать звонки, а также читать сообщения.",****,?
2576171,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Bluetooth браслет, черный","Classic-i Bluetooth браслет, черный Classic-i Bluetooth браслет - это не только элегантные часы, но и телефонная гарнитура для громкой связи в автомобиле, при занятиях спортом или во время прогулки. С его помощью можно принимать/совершать звонки, а также читать сообщения.",****,?
2576176,0,USD,Гаджеты,Гаджеты,"Гаджеты Гаджеты Classic-i Healthy браслет, голубой","Classic-i Healthy браслет, голубой Фитнес-браслет Classic-i Healthy – функции: сбор данных о пройденных шагах, дистанции, израсходованных калориях за день/тренировку, качестве сна, установки желаемого результата тренировки и интеллектуальный будильник. Яркий цвет добавит индивидуальности.",****,?
